zip,acs_year,median_income,renter_share,population,avg_household_size,occupied_total,renter_occupied
91910,2017,59371,0.5265812807881773,76250,2.96,25375,13362
91910,2019,65847,0.5075374869697699,74855,2.96,24942,12659
91910,2021,77005,0.4870941208726646,76291,2.95,25531,12436
91910,2023,87705,0.4944850850926733,77957,2.91,26383,13046
91911,2017,52274,0.4952239789196311,84025,3.42,24288,12028
91911,2019,61748,0.48687408847836655,84026,3.36,24684,12018
91911,2021,70873,0.4842755086193508,88589,3.41,25756,12473
91911,2023,79334,0.48193103448275865,84619,3.3,25375,12229
91913,2017,87440,0.30169114065001046,49346,3.43,14369,4335
91913,2019,103127,0.2960890176455096,54114,3.56,15188,4497
91913,2021,114352,0.2920033615618333,53725,3.47,15469,4517
91913,2023,129412,0.2742011003160482,57067,3.34,17086,4685
91932,2017,49950,0.6821521419690291,26713,3.02,8847,6035
91932,2019,53690,0.6920498585943228,26492,2.77,9547,6607
91932,2021,68917,0.6821595733101121,26375,2.76,9187,6267
91932,2023,79071,0.6933820369574559,25897,2.67,9308,6454
91942,2017,56645,0.6131510495432824,40239,2.39,16531,10136
91942,2019,64090,0.607114382091383,40151,2.42,16305,9899
91942,2021,72145,0.5752948113207547,40863,2.37,16960,9757
91942,2023,81262,0.5598293029871977,40920,2.28,17575,9839
92008,2017,81073,0.5410585545982064,27537,2.4,11374,6154
92008,2019,84671,0.5409923056513664,27151,2.38,11307,6117
92008,2021,89502,0.5285571142284569,27742,2.31,11976,6330
92008,2023,105371,0.49779922126290843,27707,2.34,11814,5881
92009,2017,120090,0.25956930542917805,44632,2.7,16485,4279
92009,2019,138078,0.25579570152137165,46612,2.8,16564,4237
92009,2021,149820,0.30262839147286824,46622,2.81,16512,4997
92009,2023,162128,0.2732540220674351,45778,2.8,16223,4433
92011,2017,110505,0.33471162001696353,24895,2.64,9432,3157
92011,2019,116382,0.33347480106100796,24144,2.56,9425,3143
92011,2021,121353,0.38051509394131305,24518,2.59,9474,3605
92011,2023,154985,0.35905563449557326,23715,2.59,9149,3285
92020,2017,52264,0.6099622086920008,58862,3.01,19052,11621
92020,2019,59151,0.5975799750727047,59743,3.03,19256,11507
92020,2021,64691,0.5792368855328299,60222,2.95,19997,11583
92020,2023,72822,0.5687189214128262,58490,2.92,19507,11094
92024,2017,103417,0.34519303557910674,51309,2.57,19815,6840
92024,2019,116616,0.35442207759447053,51381,2.58,19821,7025
92024,2021,133304,0.350564681724846,50840,2.59,19480,6829
92024,2023,149080,0.32340425531914896,50030,2.5,19740,6384
92027,2017,60802,0.4173768062245276,57746,3.52,16194,6759
92027,2019,65989,0.3873048405569956,56788,3.38,16589,6425
92027,2021,74690,0.39506458900538727,56878,3.26,17263,6820
92027,2023,86106,0.39247564268106583,55232,3.19,17038,6687
92037,2017,107094,0.4193359831657704,39893,2.32,17108,7174
92037,2019,109194,0.39877595103804153,38168,2.27,16666,6646
92037,2021,125636,0.3622567617182719,37505,2.28,16342,5920
92037,2023,141822,0.38034990011501907,39284,2.25,16519,6283
92054,2017,56170,0.6208857160907195,43554,2.69,15829,9828
92054,2019,63404,0.5874780573434757,41807,2.65,15381,9036
92054,2021,64694,0.5953051643192488,37567,2.5,14910,8876
92054,2023,76974,0.6072092405735529,37546,2.46,15064,9147
92056,2017,70636,0.37127616747181963,54181,2.72,19872,7378
92056,2019,81583,0.36825480389576204,52337,2.75,18995,6995
92056,2021,90777,0.35721670802315963,54045,2.78,19344,6910
92056,2023,102570,0.328259532595326,53265,2.71,19512,6405
92057,2017,66844,0.3605622115035527,57276,2.97,19281,6952
92057,2019,75687,0.3280163599182004,60414,3.08,19560,6416
92057,2021,91298,0.313882863340564,58444,3.16,18440,5788
92057,2023,106421,0.3129730305937533,57994,3.08,18762,5872
92069,2017,65485,0.43063823895888137,49638,3.43,14446,6221
92069,2019,71488,0.4282562182401712,50376,3.36,14956,6405
92069,2021,80429,0.4334862385321101,46375,3.12,14824,6426
92069,2023,93065,0.4420954660284537,46825,3.1,15042,6650
92071,2017,81716,0.3078231292517007,57245,2.86,19404,5973
92071,2019,87334,0.28109348914858096,57710,2.91,19168,5388
92071,2021,93043,0.2768159396460006,59826,2.81,20678,5724
92071,2023,105603,0.28042403498764024,59739,2.78,21036,5899
92078,2017,74094,0.3365884664278285,49261,2.79,17306,5825
92078,2019,85335,0.305213324207164,50510,2.83,17532,5351
92078,2021,97908,0.2981987991994663,53247,2.92,17988,5364
92078,2023,114905,0.28673541768974736,53542,2.83,18327,5255
92101,2017,60417,0.7596618357487923,38023,1.51,22356,16983
92101,2019,71925,0.746294395401355,41159,1.52,24355,18176
92101,2021,78092,0.744416776904521,43096,1.54,25702,19133
92101,2023,90477,0.7492152075340077,48163,1.51,28670,21480
92102,2017,44801,0.7267192472671925,44644,3.04,14454,10504
92102,2019,51744,0.7073931015789117,44010,2.93,14757,10439
92102,2021,59586,0.669001386962552,40083,2.73,14420,9647
92102,2023,71319,0.6900328587075575,39001,2.61,14608,10080
92103,2017,74523,0.6551666573924656,34671,1.89,17971,11774
92103,2019,78720,0.6597712471953155,34700,1.86,18273,12056
92103,2021,84756,0.6600539083557951,33873,1.79,18550,12244
92103,2023,96887,0.6472874162703891,34817,1.74,19557,12659
92104,2017,59202,0.6972052651659671,44398,2.11,20968,14619
92104,2019,67668,0.7309389381790578,45435,2.15,21077,15406
92104,2021,79929,0.7249328048836043,45773,2.08,21951,15913
92104,2023,92862,0.7103534698816005,46912,2.02,23142,16439
92105,2017,40272,0.7018431682065092,73379,3.38,21539,15117
92105,2019,43282,0.7089443483013025,73623,3.32,21958,15567
92105,2021,51868,0.6768514860178234,73085,3.18,22779,15418
92105,2023,65174,0.6768327669153021,71284,3.11,22657,15335
92107,2017,77631,0.6140457551113476,29796,2.18,13157,8079
92107,2019,85299,0.6077275703994761,31223,2.19,13743,8352
92107,2021,93741,0.6287850744058636,29753,2.15,13507,8493
92107,2023,107262,0.6284336645236703,29789,2.12,13688,8602
92108,2017,69008,0.7418550992155053,21973,2.01,10835,8038
92108,2019,75296,0.7663475433526011,22280,1.99,11072,8485
92108,2021,87032,0.7002616696210011,21995,1.84,11847,8296
92108,2023,101704,0.7117920573214421,24401,1.85,13119,9338
92109,2017,72945,0.7266452719039873,49024,2.15,22747,16529
92109,2019,80467,0.7040913848814454,47111,2.14,21973,15471
92109,2021,95170,0.6863093610427491,45333,2.06,21942,15059
92109,2023,118300,0.6864704293815825,44456,1.99,22218,15252
92110,2017,65211,0.5713250611357666,28373,2.24,11041,6308
92110,2019,73651,0.5883386020372322,30108,2.26,11388,6700
92110,2021,87286,0.6286315789473684,30318,2.24,11875,7465
92110,2023,102508,0.6388462470711804,31186,2.22,12377,7907
92111,2017,65098,0.5097010084330955,49467,2.86,16957,8643
92111,2019,74217,0.49795560747663553,50693,2.9,17120,8525
92111,2021,85347,0.46650859513930054,49351,2.78,16870,7870
92111,2023,95081,0.4687518338125697,45888,2.58,17041,7988
92115,2017,47536,0.6688881588210447,65704,2.92,21307,14252
92115,2019,51636,0.6570768287506485,64343,2.86,21203,13932
92115,2021,59931,0.633543940264216,61450,2.74,20892,13236
92115,2023,75178,0.5985364506627393,64011,2.67,21728,13005
92116,2017,64959,0.6734008752472873,34295,2.05,16681,11233
92116,2019,74559,0.6670343813200956,33408,2.05,16317,10884
92116,2021,83869,0.6619589141599413,31470,1.92,16356,10827
92116,2023,95775,0.6785865042513417,31484,1.89,16583,11253
92117,2017,71472,0.4084547684316837,55978,2.68,20793,8493
92117,2019,86243,0.4155183882923121,56983,2.7,21046,8745
92117,2021,97702,0.43663265799526135,55195,2.66,20681,9030
