year,total_enrollment,undergrad,graduate,source
2010,29176,23663,5513,IPEDS EF2010A.csv (NCES)
2011,28593,23046,5547,IPEDS EF2011A.csv (NCES)
2012,28294,22676,5618,IPEDS EF2012A.csv (NCES)
2013,29517,23805,5712,IPEDS EF2013A.csv (NCES)
2014,30709,24810,5899,IPEDS EF2014A.csv (NCES)
2015,32906,26590,6316,IPEDS EF2015A.csv (NCES)
2016,34979,28127,6852,IPEDS EF2016A.csv (NCES)
2017,35772,28587,7185,IPEDS EF2017A.csv (NCES)
2018,37887,30285,7602,IPEDS EF2018A.csv (NCES)
2019,38736,30794,7942,IPEDS EF2019A.csv (NCES)
2020,39576,31842,7734,IPEDS EF2020A.csv (NCES)
2021,41885,33343,8542,IPEDS EF2021A.csv (NCES)
2022,42006,33096,8910,IPEDS EF2022A.csv (NCES)
2023,42376,33792,8584,IPEDS EF2023A.csv (NCES)
2024,44256,34955,9301,"IPEDS Institution Profile Fall 2024 (Provisional release, March 2026)"
